id,category,english_phrase,russian_phrase,explanation_ru,explanation_en,audio_generated
1,directions,You can find him under the tree.,Его можно найти под деревом.,Под... Под… Под,This is the word for under (this is a preposition),yes
2,connectors,"First he left, then he came back.","Сначала он ушёл, потом вернулся.",Сначала.. Сначала… Сначала,"at first, or initially.",yes
3,connectors,"He was angry. Not surprising, though.","Он был зол. Впрочем, не удивительно.",Впрочем… Впрочем… Впрочем,Means however / though / anyway. A transition word.,yes
4,connectors,"Although he was tired, he kept working.","Хотя он устал, он продолжал работать.",Хотя… Хотя… Хотя,"Means although, even / though – used for contrast.",yes
5,verbs,He ended up in Moscow without any money. ,Он оказался в Москве без денег.,Оказался… Оказался… Оказался,Means – to turn out / to end up / to find oneself,yes
6,verbs,They hid the radio under the box by the wall.,Они спрятали радио под ящиком у стены.,"Спрятали, прошедшее время глагола спрятать, совершенный вид (законченное действие). Спрятали, Спрятал, спрятать","Hid, past tense of the verb to hide, perfect aspect (completed action). Hid, Hid, hide",yes
7,verbs,I didn’t make it in time for the extraction.,Я не успел на эвакуацию.,"Успел, успел, успел, Прошедшее время глагола успеть.",Past tense of to manage or make it on time. Perfective aspect = completed action,yes
8,verbs,I liked the city we visited. ,"Мне понравился город, который мы посетили.","Понравился — прошедшее время глагола «понравиться», совершенный вид. Кому? Что? Мне понравился город.","Liked - past tense of the verb ""like it”, perfective aspect. To whom? What? I liked the city.",yes
9,verbs,He asked me where I was going. ,"Он спросил мне, куда я иду.","Спросил. Спрашивать или спросить. прошедшее время глагола «спросить», совершенный вид. Спросить кого? Что?",past tense of  verb (to ask). Direct object in accusative,yes
10,verbs,I lost my keys yesterday.,Я потерял ключи вчера.,"Потерял — прошедшее время глагола «потерять», совершенный вид. Потерять что? Ключи.","past tense of verb (to lose). Perfective aspect, completed action.",yes
